Scenario,Description,Biomass,R00451_Lysine,R02292_DHDPS,Exchange_C00047,ModelStat,Lys_FoldChange
s1,Baseline,0.00017531,0.00000000,0.00000000,-0.00000074,1,1.00000000
s2,KO_R00282_ACC,0.00017527,0.33231085,0.33231085,0.33228077,1,Inf
s3,KO_R00216_PDH_plastid,0.00017531,0.01606636,0.01606636,0.01606562,1,Inf
s4,KO_Exe2_lipid_export,0.00017530,0.05719648,0.05719648,0.05719575,1,Inf
s5,KO_Trans2_lipid_transport,0.00017527,0.24551290,0.24551290,0.24551216,1,Inf
s6,KO_cpTransO2_transport,0.00017529,0.08787162,0.08787162,0.08787089,1,Inf
s7,OE_R00883_AspKinase,0.00017526,0.57149063,0.57149063,0.57148990,1,Inf
s8,OE_R00512_AspSemiDH,0.00017525,0.31894041,0.31894041,0.31893967,1,Inf
s9,OE_R01015_DHDPR,0.00017535,0.31480322,0.31480322,0.31477160,1,Inf
s10,OE_R00667_HomoserDH,0.00017534,0.31476613,0.31476613,0.31476539,1,Inf
s11,OE_R01280_DAPepimerase,0.00017531,0.31486576,0.31486576,0.31486503,1,Inf
s12,Mimicry_MR00422,0.00017534,0.31480590,0.31480590,0.31480516,1,Inf
s13,Mimicry_MR00732,0.00017534,0.31481281,0.31481281,0.31481208,1,Inf
s14,Mimicry_R00342,0.00017530,0.31479818,0.31479818,0.31479744,1,Inf
s15,COMBO_KO_R00282+OE_R00883,0.00017527,0.03651981,0.03651981,0.03648971,1,Inf
s16,COMBO_KO_R00282+OE_R00512+R01015,0.00017526,0.03652547,0.03652547,0.03649387,1,Inf
s17,COMBO_KO_PDH+OE_R00883,0.00017530,0.01355905,0.01355905,0.01355831,1,Inf
s18,COMBO_KO_Exe2+Trans2,0.00017527,0.07991620,0.07991620,0.07991547,1,Inf
s19,COMBO_All3_mimicry,0.00017527,0.23356580,0.23356580,0.23356507,1,Inf
s20,COMBO_KO_R00282+All_mimicry,0.00017531,0.00003008,0.00003008,0.00000000,1,Inf
s21,COMBO_AllKOs_FA_block,0.00017527,0.08335398,0.08335398,0.08332388,1,Inf
s22,COMBO_AllKOs+AllOE,0.00017534,0.08338418,0.08338418,0.08335252,1,Inf
s23,OE_All_lysine_pathway,0.00017529,2.42254876,2.42254876,2.42254802,1,Inf
s24,COMBO_KO_R00282+OE_AllLys,0.00017528,0.00003010,0.00003010,0.00000000,1,Inf
s25,GRAND_COMBO_AllKO+AllOE+AllMim,0.00017532,0.08039527,0.08039527,0.08036517,1,Inf
s26,COMBO_KO_R00282+OE_R00883+Mim_R00342,0.00017532,0.08906024,0.08906024,0.08903013,1,Inf
s27,OE_R00883+R00667,0.00017526,0.08903839,0.08903839,0.08900679,1,Inf
s28,KO_PDH+ACC_all_FA_entry,0.00017530,0.01510335,0.01510335,0.01507325,1,Inf
