Reaction,Annotation,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30
R00480[K,p],Aspartate kinase (Asp → Asp-4-P) [Biosynthesis],0.00000251,0.00000373,0.00000122,0.00000237,0.00000405,0.00000168,0.00000263,0.00000268,0.00000005,0.00000305,0.00000281,-0.00000024,0.00000673,0.00580307,0.00579634,0.00000518,0.00000677,0.00000159,0.00000151,1.25078177,1.25078026,0.00000000,0.00000000,0.00000000
R00355[K,p],Aspartate aminotransferase [Biosynthesis],-0.00000251,-0.00000373,-0.00000122,-0.00000237,-0.00000405,-0.00000168,-0.00000263,-0.00000268,-0.00000005,-0.00000305,-0.00000281,0.00000024,-0.00000673,-0.00580307,-0.00579634,-0.00000518,-0.00000677,-0.00000159,-0.00000151,-1.25078177,-1.25078026,0.00000000,0.00000000,0.00000000
R01954[K,p],Aspartate-semialdehyde dehydrogenase [Biosynthesis],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R02291[K,p],Asp-semialdehyde production [Biosynthesis],0.00000251,0.00000373,0.00000122,0.00000237,0.00000405,0.00000168,0.00000263,0.00000268,0.00000005,0.00000305,0.00000281,-0.00000024,0.00000673,0.00580307,0.00579634,0.00000518,0.00000677,0.00000159,0.00000151,1.25078177,1.25078026,0.00000000,0.00000000,0.00000000
R02292[K,p],Dihydrodipicolinate synthase (DHDPS) [Biosynthesis],0.00000251,0.00000373,0.00000122,0.00000237,0.00000405,0.00000168,0.00000263,0.00000268,0.00000005,0.00000305,0.00000281,-0.00000024,0.00000673,0.00580307,0.00579634,0.00000518,0.00000677,0.00000159,0.00000151,1.25078177,1.25078026,0.00000000,0.00000000,0.00000000
R04198[K,p],Dihydrodipicolinate reductase (DHDPR) [Biosynthesis],0.00000251,0.00000373,0.00000122,0.00000237,0.00000405,0.00000168,0.00000263,0.00000268,0.00000005,0.00000305,0.00000281,-0.00000024,0.00000673,0.00580307,0.00579634,0.00000518,0.00000677,0.00000159,0.00000151,1.25078177,1.25078026,0.00000000,0.00000000,0.00000000
R02735[K,p],meso-DAP production [Biosynthesis],0.00000251,0.00000373,0.00000122,0.00000237,0.00000405,0.00000168,0.00000263,0.00000268,0.00000005,0.00000305,0.00000281,-0.00000024,0.00000673,0.00580307,0.00579634,0.00000518,0.00000677,0.00000159,0.00000151,1.25078177,1.25078026,0.00000000,0.00000000,0.00000000
R00451[K,p],DAP decarboxylase (meso-DAP → Lysine) [Biosynthesis],0.00000251,0.00000373,0.00000122,0.00000237,0.00000405,0.00000168,0.00000263,0.00000268,0.00000005,0.00000305,0.00000281,-0.00000024,0.00000673,0.00580307,0.00579634,0.00000518,0.00000677,0.00000159,0.00000151,1.25078177,1.25078026,0.00000000,0.00000000,0.00000000
R00715[K,c],Lysine-ketoglutarate reductase/LKR (Lys → Saccharopine) [Degradation-cytosol],0.00000000,0.00000127,0.00000127,0.00000000,0.00000127,0.00000127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R00715[K,p],Lysine-ketoglutarate reductase/LKR (Lys → Saccharopine) [Degradation-plastid],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
