KEGG_ID,Amino_Acid,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30
C00041,Alanine,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000,-0.05613137,-0.05613137,0.00000000
C00062,Arginine,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000,-0.00000006,-0.00000006,0.00000000
C00152,Asparagine,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000,-0.01583117,-0.01583117,0.00000000
C00049,Aspartate,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000,-0.04500961,-0.04500961,0.00000000
C00097,Cysteine,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000,-0.00000003,-0.00000003,0.00000000
C00025,Glutamate,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000,-0.06131756,-0.06131756,0.00000000
C00064,Glutamine,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000,-0.24782563,-0.24782563,0.00000000
C00037,Glycine,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000,-0.00773469,-0.00773469,0.00000000
C00135,Histidine,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000,-0.00083052,-0.00083052,0.00000000
C00407,Isoleucine,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000,-0.00093250,-0.00093250,0.00000000
C00123,Leucine,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000,-0.00182862,-0.00182862,0.00000000
