Reaction,WT_DAP6,O2_DAP6,Diff_DAP6,WT_DAP8,O2_DAP8,Diff_DAP8,WT_DAP10,O2_DAP10,Diff_DAP10,WT_DAP12,O2_DAP12,Diff_DAP12,WT_DAP15,O2_DAP15,Diff_DAP15,WT_DAP18,O2_DAP18,Diff_DAP18,WT_DAP22,O2_DAP22,Diff_DAP22,WT_DAP30,O2_DAP30,Diff_DAP30,MaxAbsDiff,AvgAbsDiff,ConsistentDirection
R00307[K,c],0.22933502,-10.95149723,-11.18083225,-14.08259286,-12.68810360,1.39448926,0.26564723,2.38184227,2.11619504,0.28630722,0.26671356,-0.01959366,-19.86958646,-13.62309320,6.24649326,-24.81516287,2.34101418,27.15617705,-24.48110174,-23.85036243,0.63073931,-27.51660226,-33.20406051,-5.68745825,27.15617705,6.80399726,MIXED
Exchange_C00031[K,L],0.00000000,11.20648769,11.20648769,14.79498931,12.97747194,-1.81751737,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,22.13899794,14.11693644,-8.02206150,25.44120993,0.00000000,-25.44120993,24.66842548,29.05039004,4.38196456,28.72072655,33.23125319,4.51052664,25.44120993,6.92247096,MIXED
ExB_C00031[K],0.00004851,11.20653518,11.20648667,14.79503513,12.97752554,-1.81750959,0.00005083,0.00005169,0.00000086,0.00005879,0.00005427,-0.00000452,22.13912773,14.11704396,-8.02208377,25.44130983,0.00013053,-25.44117930,24.66845464,29.05041881,4.38196417,28.72074073,33.23125802,4.51051729,25.44117930,6.92246827,MIXED
PhloemImport_C00095[K,c],0.00000000,10.57622908,10.57622908,14.19050961,12.26243718,-1.92807243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20.47690434,12.80720176,-7.66970258,23.94940077,0.00000000,-23.94940077,24.17989327,16.46278550,-7.71710777,28.24632140,33.16576617,4.91944477,23.94940077,7.09499468,MIXED
PhloemTransport_C00095[K,c],0.00000000,10.57622908,10.57622908,14.19050961,12.26243718,-1.92807243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20.47690434,12.80720176,-7.66970258,23.94940077,0.00000000,-23.94940077,24.17989327,16.46278550,-7.71710777,28.24632140,33.16576617,4.91944477,23.94940077,7.09499468,MIXED
Exe4[K],0.45501438,0.50377281,0.04875843,0.48433990,0.57010373,0.08576383,0.53082943,0.54514509,0.01431566,0.59067506,0.54796760,-0.04270746,1.10592550,1.00399534,-0.10193016,0.93221436,1.10501895,0.17280459,0.36469424,11.40915289,11.04445865,0.29561372,0.04108417,-0.25452955,11.04445865,1.47065854,MIXED
Trans4[K],0.45501438,0.50377281,0.04875843,0.48433990,0.57010373,0.08576383,0.53082943,0.54514509,0.01431566,0.59067506,0.54796760,-0.04270746,1.10592550,1.00399534,-0.10193016,0.93221436,1.10501895,0.17280459,0.36469424,11.40915289,11.04445865,0.29561372,0.04108417,-0.25452955,11.04445865,1.47065854,MIXED
cpTransport_C00011[K],-0.63220918,-0.62426415,0.00794503,-0.60000395,-0.70650993,-0.10650598,-0.65653235,-0.67503459,-0.01850224,-0.72781906,-0.67557206,0.05224700,-1.55732811,-1.38628076,0.17104735,-1.08334352,-1.46551076,-0.38216724,-0.39312977,-11.18320778,-10.79007801,-0.53501297,-0.04609883,0.48891414,10.79007801,1.50217587,MIXED
ExB_C00089[K],999.62227542,999.62468239,0.00240697,999.64022882,999.57427776,-0.06595106,999.61014884,999.59609337,-0.01405547,999.58260040,999.61097730,0.02837690,998.97794630,999.18399659,0.20605029,999.13413386,998.93038326,-0.20375060,999.69876115,992.61239310,-7.08636805,999.70123614,999.96170063,0.26046449,7.08636805,0.98342798,MIXED
R00801[K,c],0.37772458,0.37531761,-0.00240697,0.35977118,0.42572225,0.06595107,0.38985116,0.40390663,0.01405547,0.41739960,0.38902270,-0.02837690,1.02205370,0.81600341,-0.20605029,0.86586614,1.06961674,0.20375060,0.30123885,7.38760690,7.08636805,0.29876386,0.03829937,-0.26046449,7.08636805,0.98342798,MIXED
Exchange_C00089[K,L],999.62219753,999.62460615,0.00240862,999.64015526,999.57419168,-0.06596358,999.61006722,999.59601037,-0.01405685,999.58250599,999.61089015,0.02838416,998.97773790,999.18382395,0.20608605,999.13397345,998.93017367,-0.20379978,999.69871433,992.61234690,-7.08636743,999.70121336,999.96169287,0.26047951,7.08636743,0.98344325,MIXED
cpTransport_C00149[K],0.37584460,0.36735719,-0.00848741,0.35455546,0.41446213,0.05990667,0.39461831,0.40038089,0.00576258,0.46010851,0.42418184,-0.03592667,0.76318368,0.83552933,0.07234565,0.51115107,0.90517369,0.39402262,0.00644911,5.72316462,5.71671551,0.28088272,0.02376705,-0.25711567,5.71671551,0.81878535,MIXED
R01061[K,c],0.18034091,0.23515852,0.05481761,0.22514572,0.26699369,0.04184797,0.24298728,0.25250422,0.00951694,0.25591661,0.23883130,-0.01708531,0.26463870,0.38895973,0.12432103,0.24079861,0.45985686,0.21905825,-0.02744265,4.37209127,4.39953392,0.03882929,0.00620769,-0.03262160,4.39953392,0.61235033,MIXED
R00342[K,c],-0.18063966,-0.23544970,-0.05481004,-0.22542784,-0.26732256,-0.04189472,-0.24330036,-0.25271515,-0.00941479,-0.25627871,-0.23916557,0.01711314,-0.26127882,-0.38939848,-0.12811966,-0.23655298,-0.40645839,-0.16990541,0.12012871,-4.20390585,-4.32403456,-0.03879452,-0.00621300,0.03258152,4.32403456,0.59723423,MIXED
R01512[K,c],-0.16355266,-0.21872322,-0.05517056,-0.20929320,-0.24844053,-0.03914733,-0.22539134,-0.23461300,-0.00922166,-0.23556586,-0.22005084,0.01551502,-0.42365573,-0.35174521,0.07191052,-0.43496860,-0.43741265,-0.00244405,-0.10248107,-4.36714574,-4.26466467,-0.12591625,-0.02085544,0.10506081,4.26466467,0.57039183,MIXED
R00658[K,c],0.27481997,0.21872322,-0.05609675,0.20929320,0.24844053,0.03914733,0.22539134,0.23461300,0.00922166,0.23556586,0.22005084,-0.01551502,0.72792195,0.59466192,-0.13326003,0.43496860,0.73261641,0.29764781,0.21971139,4.36714574,4.14743435,0.24226685,0.02085544,-0.22141141,4.14743435,0.61496680,MIXED
R01518[K,c],-0.27481997,-0.21872322,0.05609675,-0.20929320,-0.24844053,-0.03914733,-0.22539134,-0.23461300,-0.00922166,-0.23556586,-0.22005084,0.01551502,-0.72792195,-0.59466192,0.13326003,-0.43496860,-0.73261641,-0.29764781,-0.21971139,-4.36714574,-4.14743435,-0.24226685,-0.02085544,0.22141141,4.14743435,0.61496680,MIXED
R00216[K,p],0.27395720,0.26791034,-0.00604686,0.25851711,0.30231537,0.04379826,0.28709242,0.29187738,0.00478496,0.33389099,0.30833509,-0.02555590,0.67175805,0.60765163,-0.06410642,0.51246575,0.64324095,0.13077520,0.19655377,4.32550735,4.12895358,0.24210970,0.02304206,-0.21906764,4.12895358,0.57788610,MIXED
cpTransport_C00001[K],-0.22517567,-0.21984845,0.00532722,-0.21228384,-0.24794808,-0.03566424,-0.31323095,-0.23981492,0.07341603,-0.27700853,-0.25562776,0.02138077,-0.60443741,-0.49490750,0.10952991,-0.62425601,-0.58763651,0.03661950,-0.01866856,-4.14252739,-4.12385883,-0.37251355,-0.03423937,0.33827418,4.12385883,0.59300883,MIXED
