Pathway,DAP,WT_TotalAbsFlux,O2_TotalAbsFlux,Difference,Percent_Change
Lysine_Biosynthesis,6,0.07867155,0.13593655,0.05726500,72.7900
Lysine_Biosynthesis,8,0.12931327,0.15509933,0.02578606,19.9408
Lysine_Biosynthesis,10,0.13568987,0.14423308,0.00854321,6.2961
Lysine_Biosynthesis,12,0.12996341,0.12322851,-0.00673490,-5.1822
Lysine_Biosynthesis,15,0.16934210,0.20794533,0.03860323,22.7960
Lysine_Biosynthesis,18,0.29010116,0.20492013,-0.08518103,-29.3625
Lysine_Biosynthesis,22,0.06992763,12.81244311,12.74251548,18222.4329
Lysine_Biosynthesis,30,0.00000789,0.01546662,0.01545873,195928.1369
Lysine_Degradation,6,0.00000000,0.00000381,0.00000381,0.0000
Lysine_Degradation,8,0.00000000,0.00000381,0.00000381,0.0000
Lysine_Degradation,10,0.00000000,0.00000000,0.00000000,0.0000
Lysine_Degradation,12,0.00000000,0.00000000,0.00000000,0.0000
Lysine_Degradation,15,0.00000000,0.00000000,0.00000000,0.0000
Lysine_Degradation,18,0.00000000,0.00000000,0.00000000,0.0000
Lysine_Degradation,22,0.00000000,0.00000000,0.00000000,0.0000
Lysine_Degradation,30,0.00000000,0.00000000,0.00000000,0.0000
Aspartate_Pathway,6,0.07865900,0.13591790,0.05725890,72.7938
Aspartate_Pathway,8,0.12930142,0.15507908,0.02577766,19.9361
Aspartate_Pathway,10,0.13567672,0.14421968,0.00854296,6.2966
Aspartate_Pathway,12,0.12994816,0.12321446,-0.00673370,-5.1818
Aspartate_Pathway,15,0.16930845,0.17892998,0.00962153,5.6828
Aspartate_Pathway,18,0.29007526,0.20488628,-0.08518898,-29.3679
Aspartate_Pathway,22,0.06992008,6.55853426,6.48861418,9280.0440
Aspartate_Pathway,30,0.00000789,0.01546662,0.01545873,195928.1369
TCA_Cycle,6,0.29649247,0.33939332,0.04290085,14.4695
TCA_Cycle,8,0.32949564,0.38113332,0.05163768,15.6717
TCA_Cycle,10,0.37557148,0.37392203,-0.00164945,-0.4392
TCA_Cycle,12,0.46690732,0.42653172,-0.04037560,-8.6475
TCA_Cycle,15,0.39668347,0.68400514,0.28732167,72.4310
TCA_Cycle,18,0.58823493,0.85022362,0.26198869,44.5381
TCA_Cycle,22,0.31042557,7.02606166,6.71563609,2163.3643
TCA_Cycle,30,0.12851741,0.04343086,-0.08508655,-66.2062
Glycolysis,6,1.02271211,5.85311818,4.83040607,472.3134
Glycolysis,8,6.72183813,4.50174629,-2.22009184,-33.0280
Glycolysis,10,0.91862404,4.69960098,3.78097694,411.5913
Glycolysis,12,1.10096374,0.94611355,-0.15485019,-14.0650
Glycolysis,15,6.38398969,3.70670790,-2.67728179,-41.9374
Glycolysis,18,5.46488522,4.39067407,-1.07421115,-19.6566
Glycolysis,22,5.61073191,16.64473733,11.03400542,196.6589
Glycolysis,30,2.51514892,0.10106386,-2.41408506,-95.9818
Amino_Acid_Transport,6,0.00003200,0.00003260,0.00000060,1.8750
Amino_Acid_Transport,8,0.00003022,0.00003665,0.00000643,21.2773
Amino_Acid_Transport,10,0.00003353,0.00003411,0.00000058,1.7298
Amino_Acid_Transport,12,0.00003880,0.00003581,-0.00000299,-7.7062
Amino_Acid_Transport,15,0.00008565,0.01746344,0.01737779,20289.3053
Amino_Acid_Transport,18,0.00006593,0.00008614,0.00002021,30.6537
Amino_Acid_Transport,22,0.00001924,3.75235983,3.75234059,19502809.7193
Amino_Acid_Transport,30,0.00000863,0.00000294,-0.00000569,-65.9328
Zein_Storage_Protein,6,0.00000000,0.00000073,0.00000073,0.0000
Zein_Storage_Protein,8,0.00000000,0.00000081,0.00000081,0.0000
Zein_Storage_Protein,10,0.00000000,0.00000000,0.00000000,0.0000
Zein_Storage_Protein,12,0.00000000,0.00000000,0.00000000,0.0000
Zein_Storage_Protein,15,0.00000000,0.00000163,0.00000163,0.0000
Zein_Storage_Protein,18,0.00000000,0.00000120,0.00000120,0.0000
Zein_Storage_Protein,22,0.00000000,0.00000000,0.00000000,0.0000
Zein_Storage_Protein,30,0.00000000,0.00000000,0.00000000,0.0000
Starch_Metabolism,6,0.00449086,0.00439635,-0.00009451,-2.1045
Starch_Metabolism,8,0.00424164,0.00496265,0.00072101,16.9984
Starch_Metabolism,10,0.00470706,0.00478502,0.00007796,1.6562
Starch_Metabolism,12,0.00544351,0.00502542,-0.00041809,-7.6805
Starch_Metabolism,15,0.01201840,0.00995444,-0.00206396,-17.1733
Starch_Metabolism,18,0.00925045,0.01208777,0.00283732,30.6722
Starch_Metabolism,22,0.00269909,0.00266379,-0.00003530,-1.3078
Starch_Metabolism,30,0.00131274,0.00044717,-0.00086557,-65.9361
Pentose_Phosphate,6,0.00011985,0.00011732,-0.00000253,-2.1110
Pentose_Phosphate,8,0.00011325,0.00013244,0.00001919,16.9448
Pentose_Phosphate,10,0.00012560,0.00012770,0.00000210,1.6720
Pentose_Phosphate,12,0.00014526,0.00013409,-0.00001117,-7.6897
Pentose_Phosphate,15,0.00113075,0.00026563,-0.00086512,-76.5085
Pentose_Phosphate,18,0.00024853,0.00032475,0.00007622,30.6683
Pentose_Phosphate,22,0.00006040,0.00007159,0.00001119,18.5265
Pentose_Phosphate,30,0.00002940,0.00000572,-0.00002368,-80.5442
