Reaction,DAP,WT_vmin,O2_vmin,WT_vmax,O2_vmax,vmin_diff,vmax_diff
R00480[K,p],6,0.00000000,0.00000000,11.17240479,10.87594004,0.00000000,-0.29646475
R00480[K,p],8,0.00000000,0.00000000,10.53542274,9.76518289,0.00000000,-0.77023985
R00480[K,p],10,0.00000000,0.00000000,9.55718033,10.25188545,0.00000000,0.69470512
R00480[K,p],12,0.00000000,0.00000000,9.71199536,9.09406331,0.00000000,-0.61793204
R00480[K,p],15,0.00000000,0.00000000,8.41880951,8.57568274,0.00000000,0.15687323
R00480[K,p],18,0.00000000,0.00000000,6.95908843,7.63127884,0.00000000,0.67219041
R00480[K,p],22,0.00000000,0.00000000,6.58429963,5.69782733,0.00000000,-0.88647229
R00480[K,p],30,0.00000000,0.00000000,6.17133368,5.61037604,0.00000000,-0.56095764
R00355[K,p],6,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],8,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],10,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],12,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],15,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],18,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],22,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R00355[K,p],30,-1000.00000000,-1000.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R01954[K,p],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02291[K,p],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R02292[K,p],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R04198[K,p],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
R04198[K,p],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
