DAP,Reaction,Active_In,Flux_Value
6,16:0/18:0-SQDGdegradation[K],WT_only,0.00000032
6,18:2/18:2-DGDGdegradation[K],WT_only,0.00000021
6,18:3-16:1t-PGdegradation[K],WT_only,0.00000001
6,ExB_C00063[K],WT_only,0.00000082
6,ExB_C00075[K],WT_only,0.00000067
6,Exchange_160PC[K,L],WT_only,-0.00000045
6,Exchange_180MGDG[K,L],WT_only,-0.00000019
6,Exchange_180PC[K,L],WT_only,-0.00000004
6,Exchange_181MGDG[K,L],WT_only,-0.00000005
6,Exchange_182MGDG[K,L],WT_only,-0.00000043
6,Exchange_183PE[K,L],WT_only,-0.00000074
6,Exchange_C00095[K,L],WT_only,0.60700908
6,MR01112[K,p],WT_only,-0.00000032
6,MR01128[K,p],WT_only,0.00001367
6,MR01130[K,p],WT_only,0.00001367
6,MR01159[K,p],WT_only,0.00000032
6,MR01235[K,p],WT_only,0.00000001
6,PhloemImport_C00064[K,c],WT_only,0.00014856
6,PhloemImport_C00137_I[K,c],WT_only,0.00022142
6,PhloemImport_C00144_I[K,c],WT_only,0.00000011
6,PhloemTransport_C00064[K,c],WT_only,0.00014856
6,PhloemTransport_C00137[K,c],WT_only,0.00022142
6,PhloemTransport_C00144[K,c],WT_only,0.00000011
6,R00330[K,c],WT_only,0.00000011
6,R00332[K,c],WT_only,0.00000011
6,R00571[K,c],WT_only,-0.00000067
6,R01058[K,c],WT_only,0.11126731
6,R01473[K,c],WT_only,0.00011071
6,R02037[K,c],WT_only,0.00000066
6,R03824[K,p],WT_only,0.00000003
6,R04726[K,p],WT_only,0.01640210
6,R04801[K,p],WT_only,0.00000003
6,R04803[K,p],WT_only,0.00000003
6,R06868[K,c],WT_only,0.00000066
6,R06869[K,c],WT_only,0.00000066
6,R07558[K,p],WT_only,0.00000003
6,R07559[K,p],WT_only,0.00000002
6,cpTransport_C00251[K],WT_only,0.00004110
6,cpTransport_MC00938[K],WT_only,0.00000021
6,cpTransport_MC00942[K],WT_only,0.00000032
6,cpTransport_MC01041[K],WT_only,0.00000001
6,16:0/16:0-PCdegradation[K],O2_only,-0.00000014
6,16:0/18:3-PCdegradation[K],O2_only,0.00000073
6,18:0/18:0-PCdegradation[K],O2_only,0.00000002
6,18:0/18:0-PEdegradation[K],O2_only,-0.00000002
6,18:1/18:1-MGDGdegradation[K],O2_only,0.00000003
6,18:1/18:2-DGDGdegradation[K],O2_only,0.00000041
6,18:2/18:2-MGDGdegradation[K],O2_only,0.00000021
6,Exchange_161tPG[K,L],O2_only,-0.00000001
6,Exchange_180PE[K,L],O2_only,-0.00000004
6,Exchange_180SQDG[K,L],O2_only,-0.00000031
6,Exchange_C00031[K,L],O2_only,11.20648769
6,Exchange_C00063[K,L],O2_only,-0.00000080
6,Exchange_C00064[K,L],O2_only,0.05386511
6,Exchange_C00075[K,L],O2_only,-0.00000066
6,MR00186[K,m],O2_only,0.00000127
6,MR00285[K,c],O2_only,0.00000127
6,MR00687[K,p],O2_only,0.01605817
6,MR00747_mod[K,x],O2_only,0.00000127
6,MR01096[K,c],O2_only,0.00000073
6,MR01104[K,c],O2_only,0.00000073
6,MR01122[K,p],O2_only,0.00001338
6,MR01124[K,p],O2_only,0.00001338
6,MR01138[K,c],O2_only,-0.00000073
6,MR01141[K,c],O2_only,-0.00000002
6,MR01142[K,c],O2_only,0.00000102
6,MR01144[K,p],O2_only,-0.00000003
6,MR01168[K,c],O2_only,0.00000102
6,MR01169[K,c],O2_only,-0.00000002
6,MR01275[K,c],O2_only,-0.00000014
6,MR01276[K,c],O2_only,0.00000102
6,PhloemImport_C00044_I[K,c],O2_only,0.00000011
6,PhloemImport_C00095[K,c],O2_only,10.57622908
6,PhloemTransport_C00044[K,c],O2_only,0.00000011
