Reaction,WT_DAP6,O2_DAP6,WT_DAP8,O2_DAP8,WT_DAP10,O2_DAP10,WT_DAP12,O2_DAP12,WT_DAP15,O2_DAP15,WT_DAP18,O2_DAP18,WT_DAP22,O2_DAP22,WT_DAP30,O2_DAP30
R00480[K,p],0.00000251,0.00000373,0.00000237,0.00000405,0.00000263,0.00000268,0.00000305,0.00000281,0.00000673,0.00580307,0.00000518,0.00000677,0.00000151,1.25078177,0.00000000,0.00000000
R00355[K,p],-0.00000251,-0.00000373,-0.00000237,-0.00000405,-0.00000263,-0.00000268,-0.00000305,-0.00000281,-0.00000673,-0.00580307,-0.00000518,-0.00000677,-0.00000151,-1.25078177,0.00000000,0.00000000
R01954[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R02291[K,p],0.00000251,0.00000373,0.00000237,0.00000405,0.00000263,0.00000268,0.00000305,0.00000281,0.00000673,0.00580307,0.00000518,0.00000677,0.00000151,1.25078177,0.00000000,0.00000000
R02292[K,p],0.00000251,0.00000373,0.00000237,0.00000405,0.00000263,0.00000268,0.00000305,0.00000281,0.00000673,0.00580307,0.00000518,0.00000677,0.00000151,1.25078177,0.00000000,0.00000000
R04198[K,p],0.00000251,0.00000373,0.00000237,0.00000405,0.00000263,0.00000268,0.00000305,0.00000281,0.00000673,0.00580307,0.00000518,0.00000677,0.00000151,1.25078177,0.00000000,0.00000000
R02735[K,p],0.00000251,0.00000373,0.00000237,0.00000405,0.00000263,0.00000268,0.00000305,0.00000281,0.00000673,0.00580307,0.00000518,0.00000677,0.00000151,1.25078177,0.00000000,0.00000000
R00451[K,p],0.00000251,0.00000373,0.00000237,0.00000405,0.00000263,0.00000268,0.00000305,0.00000281,0.00000673,0.00580307,0.00000518,0.00000677,0.00000151,1.25078177,0.00000000,0.00000000
R00715[K,c],0.00000000,0.00000127,0.00000000,0.00000127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R00715[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R00716[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R02313[K,c],0.00000000,0.00000127,0.00000000,0.00000127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R03102[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R03658[K,m],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
R03658[K,p],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
cpTransport_C00047[K],-0.00000251,-0.00000373,-0.00000237,-0.00000405,-0.00000263,-0.00000268,-0.00000305,-0.00000281,-0.00000673,-0.00580307,-0.00000518,-0.00000677,-0.00000151,-1.25078177,0.00000000,0.00000000
