Reaction,Lysine_Pathway_Annotation,WT_DAP6_Coupling,WT_DAP6_Ratio_Min,WT_DAP6_Ratio_Max,WT_DAP8_Coupling,WT_DAP8_Ratio_Min,WT_DAP8_Ratio_Max,WT_DAP10_Coupling,WT_DAP10_Ratio_Min,WT_DAP10_Ratio_Max,WT_DAP12_Coupling,WT_DAP12_Ratio_Min,WT_DAP12_Ratio_Max,WT_DAP15_Coupling,WT_DAP15_Ratio_Min,WT_DAP15_Ratio_Max,WT_DAP18_Coupling,WT_DAP18_Ratio_Min,WT_DAP18_Ratio_Max,WT_DAP22_Coupling,WT_DAP22_Ratio_Min,WT_DAP22_Ratio_Max,WT_DAP30_Coupling,WT_DAP30_Ratio_Min,WT_DAP30_Ratio_Max,O2_DAP6_Coupling,O2_DAP6_Ratio_Min,O2_DAP6_Ratio_Max,O2_DAP8_Coupling,O2_DAP8_Ratio_Min,O2_DAP8_Ratio_Max,O2_DAP10_Coupling,O2_DAP10_Ratio_Min,O2_DAP10_Ratio_Max,O2_DAP12_Coupling,O2_DAP12_Ratio_Min,O2_DAP12_Ratio_Max,O2_DAP15_Coupling,O2_DAP15_Ratio_Min,O2_DAP15_Ratio_Max,O2_DAP18_Coupling,O2_DAP18_Ratio_Min,O2_DAP18_Ratio_Max,O2_DAP22_Coupling,O2_DAP22_Ratio_Min,O2_DAP22_Ratio_Max,O2_DAP30_Coupling,O2_DAP30_Ratio_Min,O2_DAP30_Ratio_Max
16:0-16:0-PGdegradation[K],,Uncoupled,0.000000e+00,3.853921e-02,Uncoupled,0.000000e+00,3.845539e-02,Uncoupled,0.000000e+00,3.859521e-02,Uncoupled,0.000000e+00,3.845978e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.839549e-02,Uncoupled,0.000000e+00,3.834804e-02,Uncoupled,0.000000e+00,3.850631e-02,Uncoupled,0.000000e+00,3.847651e-02,Uncoupled,0.000000e+00,4.280124e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0-16:1t-PGdegradation[K],,Uncoupled,0.000000e+00,3.442958e-02,Uncoupled,0.000000e+00,3.435469e-02,Uncoupled,0.000000e+00,3.456151e-02,Uncoupled,0.000000e+00,3.463152e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.430118e-02,Uncoupled,0.000000e+00,3.425879e-02,Uncoupled,0.000000e+00,3.440019e-02,Uncoupled,0.000000e+00,3.464659e-02,Uncoupled,0.000000e+00,3.844368e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0-18:0-PGdegradation[K],,Uncoupled,0.000000e+00,3.669011e-02,Uncoupled,0.000000e+00,3.661031e-02,Uncoupled,0.000000e+00,3.675197e-02,Uncoupled,0.000000e+00,3.662300e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.655328e-02,Uncoupled,0.000000e+00,3.650811e-02,Uncoupled,0.000000e+00,3.665879e-02,Uncoupled,0.000000e+00,3.663894e-02,Uncoupled,0.000000e+00,4.075713e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0-18:1-PGdegradation[K],,Uncoupled,0.000000e+00,3.659769e-02,Uncoupled,0.000000e+00,3.651809e-02,Uncoupled,0.000000e+00,3.660924e-02,Uncoupled,0.000000e+00,3.648078e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.646121e-02,Uncoupled,0.000000e+00,3.641615e-02,Uncoupled,0.000000e+00,3.656645e-02,Uncoupled,0.000000e+00,3.649665e-02,Uncoupled,0.000000e+00,4.059885e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0-18:2-PGdegradation[K],,Uncoupled,0.000000e+00,3.649454e-02,Uncoupled,0.000000e+00,3.642633e-02,Uncoupled,0.000000e+00,3.646762e-02,Uncoupled,0.000000e+00,3.633965e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.636960e-02,Uncoupled,0.000000e+00,3.632465e-02,Uncoupled,0.000000e+00,3.647457e-02,Uncoupled,0.000000e+00,3.635547e-02,Uncoupled,0.000000e+00,4.044179e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0-18:3-PGdegradation[K],,Uncoupled,0.000000e+00,3.811652e-02,Uncoupled,0.000000e+00,3.813248e-02,Uncoupled,0.000000e+00,3.808841e-02,Uncoupled,0.000000e+00,3.795475e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.814389e-02,Uncoupled,0.000000e+00,3.815292e-02,Uncoupled,0.000000e+00,3.812279e-02,Uncoupled,0.000000e+00,3.797126e-02,Uncoupled,0.000000e+00,4.223920e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/16:0-DGDGdegradation[K],,Uncoupled,0.000000e+00,3.520089e-02,Uncoupled,0.000000e+00,3.518855e-02,Uncoupled,0.000000e+00,3.517493e-02,Uncoupled,0.000000e+00,3.505149e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.513374e-02,Uncoupled,0.000000e+00,3.509032e-02,Uncoupled,0.000000e+00,3.520668e-02,Uncoupled,0.000000e+00,3.506675e-02,Uncoupled,0.000000e+00,3.900822e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/16:0-MGDGdegradation[K],,Uncoupled,0.000000e+00,3.725457e-02,Uncoupled,0.000000e+00,3.717354e-02,Uncoupled,0.000000e+00,3.729725e-02,Uncoupled,0.000000e+00,3.716637e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.711564e-02,Uncoupled,0.000000e+00,3.706977e-02,Uncoupled,0.000000e+00,3.722277e-02,Uncoupled,0.000000e+00,3.718254e-02,Uncoupled,0.000000e+00,4.136183e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/16:0-PCdegradation[K],,Uncoupled,0.000000e+00,1.247862e-02,Uncoupled,0.000000e+00,1.248385e-02,Uncoupled,0.000000e+00,1.246942e-02,Uncoupled,0.000000e+00,1.242566e-02,Uncoupled,0.000000e+00,7.269364e-03,Uncoupled,0.000000e+00,2.059042e-03,Uncoupled,0.000000e+00,5.224785e-04,Uncoupled,0.000000e+00,2.963605e-04,Uncoupled,0.000000e+00,1.248439e-02,Uncoupled,0.000000e+00,1.248439e-02,Uncoupled,0.000000e+00,1.248067e-02,Uncoupled,0.000000e+00,1.243107e-02,Uncoupled,0.000000e+00,1.382831e-02,Uncoupled,0.000000e+00,6.026539e-03,Uncoupled,0.000000e+00,5.690869e-04,Uncoupled,0.000000e+00,9.701168e-05
16:0/16:0-PEdegradation[K],,Uncoupled,0.000000e+00,4.110605e-02,Uncoupled,0.000000e+00,4.112327e-02,Uncoupled,0.000000e+00,4.107573e-02,Uncoupled,0.000000e+00,4.093159e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,4.113557e-02,Uncoupled,0.000000e+00,4.114531e-02,Uncoupled,0.000000e+00,4.111281e-02,Uncoupled,0.000000e+00,4.094940e-02,Uncoupled,0.000000e+00,4.555208e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/16:0-SQDGdegradation[K],,Uncoupled,0.000000e+00,3.402642e-02,Uncoupled,0.000000e+00,3.395241e-02,Uncoupled,0.000000e+00,3.412445e-02,Uncoupled,0.000000e+00,3.400471e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.389953e-02,Uncoupled,0.000000e+00,3.385764e-02,Uncoupled,0.000000e+00,3.399737e-02,Uncoupled,0.000000e+00,3.401950e-02,Uncoupled,0.000000e+00,3.784327e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:0-DGDGdegradation[K],,Uncoupled,0.000000e+00,3.366223e-02,Uncoupled,0.000000e+00,3.363731e-02,Uncoupled,0.000000e+00,3.363740e-02,Uncoupled,0.000000e+00,3.351936e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.358492e-02,Uncoupled,0.000000e+00,3.354341e-02,Uncoupled,0.000000e+00,3.366776e-02,Uncoupled,0.000000e+00,3.353394e-02,Uncoupled,0.000000e+00,3.730313e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:0-MGDGdegradation[K],,Uncoupled,0.000000e+00,3.552392e-02,Uncoupled,0.000000e+00,3.544665e-02,Uncoupled,0.000000e+00,3.557313e-02,Uncoupled,0.000000e+00,3.544830e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.539144e-02,Uncoupled,0.000000e+00,3.534770e-02,Uncoupled,0.000000e+00,3.549359e-02,Uncoupled,0.000000e+00,3.546373e-02,Uncoupled,0.000000e+00,3.944982e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:0-PCdegradation[K],,Uncoupled,0.000000e+00,1.232779e-02,Uncoupled,0.000000e+00,1.233046e-02,Uncoupled,0.000000e+00,1.231869e-02,Uncoupled,0.000000e+00,1.227547e-02,Uncoupled,0.000000e+00,7.269364e-03,Uncoupled,0.000000e+00,2.059042e-03,Uncoupled,0.000000e+00,5.224785e-04,Uncoupled,0.000000e+00,2.963605e-04,Uncoupled,0.000000e+00,1.233046e-02,Uncoupled,0.000000e+00,1.232499e-02,Uncoupled,0.000000e+00,1.232981e-02,Uncoupled,0.000000e+00,1.228081e-02,Uncoupled,0.000000e+00,1.366116e-02,Uncoupled,0.000000e+00,6.026539e-03,Uncoupled,0.000000e+00,5.690869e-04,Uncoupled,0.000000e+00,9.701168e-05
16:0/18:0-PEdegradation[K],,Uncoupled,0.000000e+00,3.951346e-02,Uncoupled,0.000000e+00,3.950322e-02,Uncoupled,0.000000e+00,3.948432e-02,Uncoupled,0.000000e+00,3.934576e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.944169e-02,Uncoupled,0.000000e+00,3.939294e-02,Uncoupled,0.000000e+00,3.951996e-02,Uncoupled,0.000000e+00,3.936288e-02,Uncoupled,0.000000e+00,4.378724e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:0-SQDGdegradation[K],,Uncoupled,0.000000e+00,3.257687e-02,Uncoupled,0.000000e+00,3.250601e-02,Uncoupled,0.000000e+00,3.267550e-02,Uncoupled,0.000000e+00,3.256083e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.245538e-02,Uncoupled,0.000000e+00,3.241527e-02,Uncoupled,0.000000e+00,3.254906e-02,Uncoupled,0.000000e+00,3.257500e-02,Uncoupled,0.000000e+00,3.623640e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:1-DGDGdegradation[K],,Uncoupled,0.000000e+00,3.354254e-02,Uncoupled,0.000000e+00,3.355659e-02,Uncoupled,0.000000e+00,3.351780e-02,Uncoupled,0.000000e+00,3.340018e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.350717e-02,Uncoupled,0.000000e+00,3.346577e-02,Uncoupled,0.000000e+00,3.354805e-02,Uncoupled,0.000000e+00,3.341471e-02,Uncoupled,0.000000e+00,3.717050e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:1-MGDGdegradation[K],,Uncoupled,0.000000e+00,3.543728e-02,Uncoupled,0.000000e+00,3.536020e-02,Uncoupled,0.000000e+00,3.543940e-02,Uncoupled,0.000000e+00,3.531504e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.530512e-02,Uncoupled,0.000000e+00,3.526149e-02,Uncoupled,0.000000e+00,3.540702e-02,Uncoupled,0.000000e+00,3.533041e-02,Uncoupled,0.000000e+00,3.930151e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:1-PCdegradation[K],,Uncoupled,0.000000e+00,1.231170e-02,Uncoupled,0.000000e+00,1.231527e-02,Uncoupled,0.000000e+00,1.230262e-02,Uncoupled,0.000000e+00,1.225945e-02,Uncoupled,0.000000e+00,7.269364e-03,Uncoupled,0.000000e+00,2.059042e-03,Uncoupled,0.000000e+00,5.224785e-04,Uncoupled,0.000000e+00,2.963605e-04,Uncoupled,0.000000e+00,1.231527e-02,Uncoupled,0.000000e+00,1.231449e-02,Uncoupled,0.000000e+00,1.231372e-02,Uncoupled,0.000000e+00,1.226478e-02,Uncoupled,0.000000e+00,1.364333e-02,Uncoupled,0.000000e+00,6.026539e-03,Uncoupled,0.000000e+00,5.690869e-04,Uncoupled,0.000000e+00,9.701168e-05
16:0/18:1-PEdegradation[K],,Uncoupled,0.000000e+00,3.934865e-02,Uncoupled,0.000000e+00,3.936513e-02,Uncoupled,0.000000e+00,3.931963e-02,Uncoupled,0.000000e+00,3.918165e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.933451e-02,Uncoupled,0.000000e+00,3.928590e-02,Uncoupled,0.000000e+00,3.935512e-02,Uncoupled,0.000000e+00,3.919870e-02,Uncoupled,0.000000e+00,4.360460e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:1-SQDGdegradation[K],,Uncoupled,0.000000e+00,3.250399e-02,Uncoupled,0.000000e+00,3.243329e-02,Uncoupled,0.000000e+00,3.256263e-02,Uncoupled,0.000000e+00,3.244836e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.238277e-02,Uncoupled,0.000000e+00,3.234275e-02,Uncoupled,0.000000e+00,3.247624e-02,Uncoupled,0.000000e+00,3.246248e-02,Uncoupled,0.000000e+00,3.611124e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:2-DGDGdegradation[K],,Uncoupled,0.000000e+00,3.342370e-02,Uncoupled,0.000000e+00,3.343770e-02,Uncoupled,0.000000e+00,3.339904e-02,Uncoupled,0.000000e+00,3.328184e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.342979e-02,Uncoupled,0.000000e+00,3.338848e-02,Uncoupled,0.000000e+00,3.342919e-02,Uncoupled,0.000000e+00,3.329633e-02,Uncoupled,0.000000e+00,3.703881e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:2-MGDGdegradation[K],,Uncoupled,0.000000e+00,3.533273e-02,Uncoupled,0.000000e+00,3.527416e-02,Uncoupled,0.000000e+00,3.530667e-02,Uncoupled,0.000000e+00,3.518277e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.521922e-02,Uncoupled,0.000000e+00,3.517570e-02,Uncoupled,0.000000e+00,3.532087e-02,Uncoupled,0.000000e+00,3.519808e-02,Uncoupled,0.000000e+00,3.915432e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:2-PCdegradation[K],,Uncoupled,0.000000e+00,1.229565e-02,Uncoupled,0.000000e+00,1.230012e-02,Uncoupled,0.000000e+00,1.228658e-02,Uncoupled,0.000000e+00,1.224347e-02,Uncoupled,0.000000e+00,7.269364e-03,Uncoupled,0.000000e+00,2.059042e-03,Uncoupled,0.000000e+00,5.224785e-04,Uncoupled,0.000000e+00,2.963605e-04,Uncoupled,0.000000e+00,1.230012e-02,Uncoupled,0.000000e+00,1.230012e-02,Uncoupled,0.000000e+00,1.229767e-02,Uncoupled,0.000000e+00,1.224879e-02,Uncoupled,0.000000e+00,1.362555e-02,Uncoupled,0.000000e+00,6.026539e-03,Uncoupled,0.000000e+00,5.690869e-04,Uncoupled,0.000000e+00,9.701168e-05
16:0/18:2-PEdegradation[K],,Uncoupled,0.000000e+00,3.918521e-02,Uncoupled,0.000000e+00,3.920162e-02,Uncoupled,0.000000e+00,3.915630e-02,Uncoupled,0.000000e+00,3.901890e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.921334e-02,Uncoupled,0.000000e+00,3.917943e-02,Uncoupled,0.000000e+00,3.919165e-02,Uncoupled,0.000000e+00,3.903588e-02,Uncoupled,0.000000e+00,4.342348e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:2-SQDGdegradation[K],,Uncoupled,0.000000e+00,3.243144e-02,Uncoupled,0.000000e+00,3.236090e-02,Uncoupled,0.000000e+00,3.245053e-02,Uncoupled,0.000000e+00,3.233666e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.231049e-02,Uncoupled,0.000000e+00,3.227056e-02,Uncoupled,0.000000e+00,3.240375e-02,Uncoupled,0.000000e+00,3.235073e-02,Uncoupled,0.000000e+00,3.598693e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:3-DGDGdegradation[K],,Uncoupled,0.000000e+00,3.173705e-02,Uncoupled,0.000000e+00,3.172359e-02,Uncoupled,0.000000e+00,3.171364e-02,Uncoupled,0.000000e+00,3.160236e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.167418e-02,Uncoupled,0.000000e+00,3.163503e-02,Uncoupled,0.000000e+00,3.174227e-02,Uncoupled,0.000000e+00,3.161611e-02,Uncoupled,0.000000e+00,3.516973e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
16:0/18:3-MGDGdegradation[K],,Uncoupled,0.000000e+00,3.685094e-02,Uncoupled,0.000000e+00,3.686637e-02,Uncoupled,0.000000e+00,3.682375e-02,Uncoupled,0.000000e+00,3.669453e-02,Uncoupled,0.000000e+00,2.180809e-02,Uncoupled,0.000000e+00,6.177127e-03,Uncoupled,0.000000e+00,1.567436e-03,Uncoupled,0.000000e+00,8.890815e-04,Uncoupled,0.000000e+00,3.687739e-02,Uncoupled,0.000000e+00,3.688613e-02,Uncoupled,0.000000e+00,3.685699e-02,Uncoupled,0.000000e+00,3.671050e-02,Uncoupled,0.000000e+00,4.083673e-02,Uncoupled,0.000000e+00,1.807962e-02,Uncoupled,0.000000e+00,1.707261e-03,Uncoupled,0.000000e+00,2.910350e-04
