Reaction,Annotation,WT_DAP6_Coupling,WT_DAP6_Ratio_Range,WT_DAP8_Coupling,WT_DAP8_Ratio_Range,WT_DAP10_Coupling,WT_DAP10_Ratio_Range,WT_DAP12_Coupling,WT_DAP12_Ratio_Range,WT_DAP15_Coupling,WT_DAP15_Ratio_Range,WT_DAP18_Coupling,WT_DAP18_Ratio_Range,WT_DAP22_Coupling,WT_DAP22_Ratio_Range,WT_DAP30_Coupling,WT_DAP30_Ratio_Range,O2_DAP6_Coupling,O2_DAP6_Ratio_Range,O2_DAP8_Coupling,O2_DAP8_Ratio_Range,O2_DAP10_Coupling,O2_DAP10_Ratio_Range,O2_DAP12_Coupling,O2_DAP12_Ratio_Range,O2_DAP15_Coupling,O2_DAP15_Ratio_Range,O2_DAP18_Coupling,O2_DAP18_Ratio_Range,O2_DAP22_Coupling,O2_DAP22_Ratio_Range,O2_DAP30_Coupling,O2_DAP30_Ratio_Range
"R00480[K,p]",Aspartate kinase,Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]"
"R00355[K,p]",Aspartate aminotransferase,Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.0000, -0.0200]",Partially_Coupled,"[-2.2039, -0.0200]",Partially_Coupled,"[-2.0760, -0.0200]"
"R01954[K,p]",Aspartate-semialdehyde dehydrogenase,Uncoupled,"[0.0000, 0.1598]",Uncoupled,"[0.0000, 0.1595]",Uncoupled,"[0.0000, 0.1605]",Uncoupled,"[0.0000, 0.1616]",Uncoupled,"[0.0000, 0.1333]",Uncoupled,"[0.0000, 0.1222]",Uncoupled,"[0.0000, 0.1395]",Uncoupled,"[0.0000, 0.1346]",Uncoupled,"[0.0000, 0.1592]",Uncoupled,"[0.0000, 0.1590]",Uncoupled,"[0.0000, 0.1597]",Uncoupled,"[0.0000, 0.1616]",Uncoupled,"[0.0000, 0.1680]",Uncoupled,"[0.0000, 0.1427]",Uncoupled,"[0.0000, 0.2157]",Uncoupled,"[0.0000, 0.1648]"
"R02291[K,p]",Asp-semialdehyde production,Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]",Directionally_Coupled,"[0.0200, 2.0000]"
"R02292[K,p]",DHDPS (committed step),Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]"
"R04198[K,p]",DHDPR,Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]"
"R02735[K,p]",meso-DAP production,Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]",Partially_Coupled,"[0.0200, 2.0000]"
"R00451[K,p]",DAP decarboxylase (TARGET),Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000,Target,1.0000
"R00715[K,c]",LKR degradation (cytosol),Uncoupled,"[0.0000, 0.1153]",Uncoupled,"[0.0000, 0.1109]",Uncoupled,"[0.0000, 0.1128]",Uncoupled,"[0.0000, 0.1157]",Uncoupled,"[0.0000, 0.0990]",Uncoupled,"[0.0000, 0.0387]",Uncoupled,"[0.0000, 0.0654]",Uncoupled,"[0.0000, 0.0627]",Uncoupled,"[0.0000, 0.1142]",Uncoupled,"[0.0000, 0.1068]",Uncoupled,"[0.0000, 0.1084]",Uncoupled,"[0.0000, 0.1161]",Uncoupled,"[0.0000, 0.1189]",Uncoupled,"[0.0000, 0.0897]",Uncoupled,"[0.0000, 0.0836]",Uncoupled,"[0.0000, 0.0694]"
"R00715[K,p]",LKR degradation (plastid),Uncoupled,"[0.0000, 0.1153]",Uncoupled,"[0.0000, 0.1109]",Uncoupled,"[0.0000, 0.1128]",Uncoupled,"[0.0000, 0.1157]",Uncoupled,"[0.0000, 0.0990]",Uncoupled,"[0.0000, 0.0387]",Uncoupled,"[0.0000, 0.0645]",Uncoupled,"[0.0000, 0.0618]",Uncoupled,"[0.0000, 0.1142]",Uncoupled,"[0.0000, 0.1068]",Uncoupled,"[0.0000, 0.1084]",Uncoupled,"[0.0000, 0.1161]",Uncoupled,"[0.0000, 0.1189]",Uncoupled,"[0.0000, 0.0897]",Uncoupled,"[0.0000, 0.0836]",Uncoupled,"[0.0000, 0.0683]"
