Genotype,DAP,Target_Max_Flux,Fully_Coupled,Partially_Coupled,Directionally_Coupled,Uncoupled,Blocked,Target,Target_Blocked,Total
WT,6,4.35327470e-01,0,5,4,1353,1661,1,0,3024
WT,8,4.10894813e-01,0,5,4,1361,1653,1,0,3024
WT,10,4.56628105e-01,0,5,4,1359,1655,1,0,3024
WT,12,5.29963465e-01,0,5,4,1360,1654,1,0,3024
WT,15,2.01279664e+00,0,5,4,1366,1648,1,0,3024
WT,18,5.46945421e+00,0,8,4,1365,1646,1,0,3024
WT,22,6.28862546e+00,0,8,4,1360,1651,1,0,3024
WT,30,5.39276865e+00,0,8,4,1350,1661,1,0,3024
O2,6,4.25904331e-01,0,5,4,1365,1649,1,0,3024
O2,8,4.80663348e-01,0,5,5,1362,1651,1,0,3024
O2,10,4.63844488e-01,0,5,4,1361,1653,1,0,3024
O2,12,4.88859838e-01,0,5,4,1359,1655,1,0,3024
O2,15,8.70835645e-01,0,5,4,1366,1648,1,0,3024
O2,18,2.44182725e+00,0,5,4,1366,1648,1,0,3024
O2,22,5.69782733e+00,0,8,4,1362,1649,1,0,3024
O2,30,5.61037604e+00,0,8,4,1336,1675,1,0,3024
