DAP,Metabolite,Reaction,Stoich_Coeff,WT_Flux,WT_abs_Sv,WT_Direction,O2_Flux,O2_abs_Sv,O2_Direction,Diff_abs_Sv
6,"C00047[K,p]","R00451[K,p]",1.0000000000,0.0000025100,0.0000025100,producing,0.0000037300,0.0000037300,producing,0.0000012200
6,"C00047[K,p]","R00715[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
6,"C00047[K,p]","R03658[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
6,"C00047[K,p]",cpTransport_C00047[K],1.0000000000,-0.0000025100,0.0000025100,consuming,-0.0000037300,0.0000037300,consuming,0.0000012200
6,"C00047[K,m]","R03658[K,m]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
6,"C00047[K,B]",ExB_C00047[K],1.0000000000,0.0000025100,0.0000025100,producing,0.0000024600,0.0000024600,producing,-0.0000000500
6,"C00047[K,B]","Exchange_C00047[K,L]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
6,"C00047[K,B]",Seed_Biomass[K],-0.0041940000,0.0005994500,0.0000025141,consuming,0.0005868000,0.0000024610,consuming,-0.0000000531
6,"C00047[K,c]",ExB_C00047[K],-1.0000000000,0.0000025100,0.0000025100,consuming,0.0000024600,0.0000024600,consuming,-0.0000000500
6,"C00047[K,c]","R00715[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000012700,0.0000012700,consuming,0.0000012700
6,"C00047[K,c]","R00716[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
6,"C00047[K,c]",cpTransport_C00047[K],-1.0000000000,-0.0000025100,0.0000025100,producing,-0.0000037300,0.0000037300,producing,0.0000012200
8,"C00047[K,p]","R00451[K,p]",1.0000000000,0.0000023700,0.0000023700,producing,0.0000040500,0.0000040500,producing,0.0000016800
8,"C00047[K,p]","R00715[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
8,"C00047[K,p]","R03658[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
8,"C00047[K,p]",cpTransport_C00047[K],1.0000000000,-0.0000023700,0.0000023700,consuming,-0.0000040500,0.0000040500,consuming,0.0000016800
8,"C00047[K,m]","R03658[K,m]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
8,"C00047[K,B]",ExB_C00047[K],1.0000000000,0.0000023700,0.0000023700,producing,0.0000027800,0.0000027800,producing,0.0000004100
8,"C00047[K,B]","Exchange_C00047[K,L]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
8,"C00047[K,B]",Seed_Biomass[K],-0.0041940000,0.0005661500,0.0000023744,consuming,0.0006624200,0.0000027782,consuming,0.0000004038
8,"C00047[K,c]",ExB_C00047[K],-1.0000000000,0.0000023700,0.0000023700,consuming,0.0000027800,0.0000027800,consuming,0.0000004100
8,"C00047[K,c]","R00715[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000012700,0.0000012700,consuming,0.0000012700
8,"C00047[K,c]","R00716[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
8,"C00047[K,c]",cpTransport_C00047[K],-1.0000000000,-0.0000023700,0.0000023700,producing,-0.0000040500,0.0000040500,producing,0.0000016800
10,"C00047[K,p]","R00451[K,p]",1.0000000000,0.0000026300,0.0000026300,producing,0.0000026800,0.0000026800,producing,0.0000000500
10,"C00047[K,p]","R00715[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
10,"C00047[K,p]","R03658[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
10,"C00047[K,p]",cpTransport_C00047[K],1.0000000000,-0.0000026300,0.0000026300,consuming,-0.0000026800,0.0000026800,consuming,0.0000000500
10,"C00047[K,m]","R03658[K,m]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
10,"C00047[K,B]",ExB_C00047[K],1.0000000000,0.0000026300,0.0000026300,producing,0.0000026800,0.0000026800,producing,0.0000000500
10,"C00047[K,B]","Exchange_C00047[K,L]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
10,"C00047[K,B]",Seed_Biomass[K],-0.0041940000,0.0006281900,0.0000026346,consuming,0.0006387800,0.0000026790,consuming,0.0000000444
10,"C00047[K,c]",ExB_C00047[K],-1.0000000000,0.0000026300,0.0000026300,consuming,0.0000026800,0.0000026800,consuming,0.0000000500
10,"C00047[K,c]","R00715[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
10,"C00047[K,c]","R00716[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
10,"C00047[K,c]",cpTransport_C00047[K],-1.0000000000,-0.0000026300,0.0000026300,producing,-0.0000026800,0.0000026800,producing,0.0000000500
12,"C00047[K,p]","R00451[K,p]",1.0000000000,0.0000030500,0.0000030500,producing,0.0000028100,0.0000028100,producing,-0.0000002400
12,"C00047[K,p]","R00715[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
12,"C00047[K,p]","R03658[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
12,"C00047[K,p]",cpTransport_C00047[K],1.0000000000,-0.0000030500,0.0000030500,consuming,-0.0000028100,0.0000028100,consuming,-0.0000002400
12,"C00047[K,m]","R03658[K,m]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
12,"C00047[K,B]",ExB_C00047[K],1.0000000000,0.0000030500,0.0000030500,producing,0.0000028100,0.0000028100,producing,-0.0000002400
12,"C00047[K,B]","Exchange_C00047[K,L]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
12,"C00047[K,B]",Seed_Biomass[K],-0.0041940000,0.0007265500,0.0000030472,consuming,0.0006707100,0.0000028130,consuming,-0.0000002342
12,"C00047[K,c]",ExB_C00047[K],-1.0000000000,0.0000030500,0.0000030500,consuming,0.0000028100,0.0000028100,consuming,-0.0000002400
12,"C00047[K,c]","R00715[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
12,"C00047[K,c]","R00716[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
12,"C00047[K,c]",cpTransport_C00047[K],-1.0000000000,-0.0000030500,0.0000030500,producing,-0.0000028100,0.0000028100,producing,-0.0000002400
15,"C00047[K,p]","R00451[K,p]",1.0000000000,0.0000067300,0.0000067300,producing,0.0058030700,0.0058030700,producing,0.0057963400
15,"C00047[K,p]","R00715[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
15,"C00047[K,p]","R03658[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
15,"C00047[K,p]",cpTransport_C00047[K],1.0000000000,-0.0000067300,0.0000067300,consuming,-0.0058030700,0.0058030700,consuming,0.0057963400
15,"C00047[K,m]","R03658[K,m]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
15,"C00047[K,B]",ExB_C00047[K],1.0000000000,0.0000067300,0.0000067300,producing,0.0058030700,0.0058030700,producing,0.0057963400
15,"C00047[K,B]","Exchange_C00047[K,L]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0057975000,0.0057975000,consuming,0.0057975000
15,"C00047[K,B]",Seed_Biomass[K],-0.0041940000,0.0016039200,0.0000067268,consuming,0.0013286500,0.0000055724,consuming,-0.0000011545
15,"C00047[K,c]",ExB_C00047[K],-1.0000000000,0.0000067300,0.0000067300,consuming,0.0058030700,0.0058030700,consuming,0.0057963400
15,"C00047[K,c]","R00715[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
15,"C00047[K,c]","R00716[K,c]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
15,"C00047[K,c]",cpTransport_C00047[K],-1.0000000000,-0.0000067300,0.0000067300,producing,-0.0058030700,0.0058030700,producing,0.0057963400
18,"C00047[K,p]","R00451[K,p]",1.0000000000,0.0000051800,0.0000051800,producing,0.0000067700,0.0000067700,producing,0.0000015900
18,"C00047[K,p]","R00715[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
18,"C00047[K,p]","R03658[K,p]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
18,"C00047[K,p]",cpTransport_C00047[K],1.0000000000,-0.0000051800,0.0000051800,consuming,-0.0000067700,0.0000067700,consuming,0.0000015900
18,"C00047[K,m]","R03658[K,m]",-1.0000000000,0.0000000000,0.0000000000,inactive,0.0000000000,0.0000000000,inactive,0.0000000000
