Pathway,DAP,Num_Metabolites,WT_FluxSum_Total,O2_FluxSum_Total,Difference,Fold_Change
Lysine_Biosynthesis,6,14,0.15740647,0.27192495,0.11451848,1.72753348
Lysine_Biosynthesis,8,14,0.25868639,0.31025850,0.05157210,1.19936148
Lysine_Biosynthesis,10,14,0.27144614,0.28853365,0.01708751,1.06294989
Lysine_Biosynthesis,12,14,0.26000357,0.24652792,-0.01347565,0.94817129
Lysine_Biosynthesis,15,14,0.33885366,0.37544859,0.03659493,1.10799626
Lysine_Biosynthesis,18,14,0.58033275,0.41001067,-0.17032208,0.70650961
Lysine_Biosynthesis,22,14,0.13989335,16.86946184,16.72956849,120.58801718
Lysine_Biosynthesis,30,14,0.00001652,0.03094156,0.03092504,1873.20900314
Lysine_Degradation,6,14,0.00000753,0.00001373,0.00000620,1.82294670
Lysine_Degradation,8,14,0.00000711,0.00001469,0.00000758,2.06533289
Lysine_Degradation,10,14,0.00000789,0.00000804,0.00000015,1.01865197
Lysine_Degradation,12,14,0.00000915,0.00000843,-0.00000072,0.92161660
Lysine_Degradation,15,14,0.00002019,0.01740921,0.01738902,862.33647666
Lysine_Degradation,18,14,0.00001554,0.00002031,0.00000477,1.30689330
Lysine_Degradation,22,14,0.00000453,3.75234531,3.75234078,828197.40436675
Lysine_Degradation,30,14,0.00000074,0.00000025,-0.00000049,0.33915595
Aspartate_Family,6,31,0.15813356,0.27263553,0.11450197,1.72408389
Aspartate_Family,8,31,0.25936800,0.31106099,0.05169299,1.19930367
Aspartate_Family,10,31,0.27221098,0.28931097,0.01709999,1.06281889
Aspartate_Family,12,31,0.26088790,0.24733483,-0.01355307,0.94805021
Aspartate_Family,15,31,0.34080488,0.35967208,0.01886720,1.05536071
Aspartate_Family,18,31,0.58183633,0.41197697,-0.16985936,0.70806334
Aspartate_Family,22,31,0.14032782,13.11754947,12.97722165,93.47789425
Aspartate_Family,30,31,0.00023007,0.03101426,0.03078419,134.80575879
TCA_Cycle,6,32,2.13702237,2.14312186,0.00609949,1.00285420
TCA_Cycle,8,32,2.06828700,2.41806052,0.34977351,1.16911266
TCA_Cycle,10,32,2.30156909,2.33568241,0.03411332,1.01482177
TCA_Cycle,12,32,2.68136800,2.47203579,-0.20933221,0.92193082
TCA_Cycle,15,32,6.23632823,4.77820323,-1.45812500,0.76618854
TCA_Cycle,18,32,3.96678304,5.98880889,2.02202585,1.50973946
TCA_Cycle,22,32,2.72463416,38.51048192,35.78584776,14.13418448
TCA_Cycle,30,32,1.56707608,0.22566902,-1.34140705,0.14400643
Glycolysis,6,33,3.26338823,36.49929902,33.23591079,11.18447958
Glycolysis,8,33,46.31394328,36.94196008,-9.37198320,0.79764230
Glycolysis,10,33,2.87919450,16.62848529,13.74929079,5.77539493
Glycolysis,12,33,2.81291522,3.00212491,0.18920969,1.06726463
Glycolysis,15,33,61.69394142,38.32521194,-23.36872948,0.62121516
Glycolysis,18,33,65.21691858,17.52786780,-47.68905077,0.26876259
Glycolysis,22,33,62.23294760,101.54032236,39.30737476,1.63161679
Glycolysis,30,33,65.38771931,66.71082987,1.32311056,1.02023485
Energy_Cofactors,6,38,3.00328766,9.55501386,6.55172619,3.18151803
Energy_Cofactors,8,38,11.28897327,7.96616805,-3.32280522,0.70565922
Energy_Cofactors,10,38,3.17539642,11.01084202,7.83544559,3.46754879
Energy_Cofactors,12,38,3.93434859,3.51536416,-0.41898443,0.89350602
Energy_Cofactors,15,38,17.55266653,8.72697728,-8.82568925,0.49718812
Energy_Cofactors,18,38,10.52604587,12.59187292,2.06582705,1.19625860
Energy_Cofactors,22,38,10.86082517,44.22017570,33.35935054,4.07153002
Energy_Cofactors,30,38,6.05405296,0.28267139,-5.77138157,0.04669126
Amino_Acids,6,77,6000.19724752,6000.45837516,0.26112764,1.00004352
Amino_Acids,8,77,6000.44460082,6000.51509321,0.07049239,1.00001175
Amino_Acids,10,77,6000.50413661,6000.50418295,0.00004633,1.00000001
Amino_Acids,12,77,6000.62116687,6000.56909113,-0.05207574,0.99999132
Amino_Acids,15,77,6000.39990613,6000.47782924,0.07792311,1.00001299
Amino_Acids,18,77,6000.61515152,6000.45639361,-0.15875791,0.99997354
Amino_Acids,22,77,6000.15058132,6012.31243008,12.16184876,1.00202692
Amino_Acids,30,77,6000.45085297,6000.03356670,-0.41728626,0.99993046
Polyamines,6,10,0.00004305,0.00004340,0.00000035,1.00813008
Polyamines,8,10,0.00004066,0.00004884,0.00000818,1.20105755
Polyamines,10,10,0.00004512,0.00004588,0.00000076,1.01684397
Polyamines,12,10,0.00005218,0.00004817,-0.00000401,0.92315063
Polyamines,15,10,0.00000000,0.00009542,0.00009542,
Polyamines,18,10,0.00000000,0.00011585,0.00011585,
Polyamines,22,10,0.00000000,0.00000000,0.00000000,
Polyamines,30,10,0.00000000,0.00001287,0.00001287,
