Rank,Metabolite_ID,Metabolite_Name,Base_KEGG_ID,Compartment,Direction_in_O2,Consistency,DAPs_with_change,Mean_Abs_Diff,Max_Abs_Diff,Relevance_Weight,Composite_Score,Suggested_Strategy,Pathways,Diff_DAP6,Diff_DAP8,Diff_DAP10,Diff_DAP12,Diff_DAP15,Diff_DAP18,Diff_DAP22,Diff_DAP30
1,"C00031[K,c]",D-Glucose [cyt],C00031,c,INCREASED,0.62500000,8,7.30050406,24.68002419,2.00000000,9.12563007,Enhance turnover (increase supply/demand),Glycolysis,12.57732450,-2.27375302,1.96407390,0.02020203,-7.08885665,-24.68002419,5.27817900,4.52161915
2,"C00031[K,B]",D-Glucose [B],C00031,B,DECREASED,0.50000000,8,6.92246827,25.44117930,2.00000000,6.92246827,Reduce turnover (limit competing usage),Glycolysis,11.20648667,-1.81750958,0.00000086,-0.00000452,-8.02208377,-25.44117930,4.38196417,4.51051729
3,C00095[P],D-Fructose [],C00095,,DECREASED,0.66666667,6,7.09499468,23.94940077,1.00000000,4.72999645,Reduce turnover (limit competing usage),Other,10.57622908,-1.92807243,0.00000000,0.00000000,-7.66970258,-23.94940077,-7.71710777,4.91944477
4,"C00095[K,c]",D-Fructose [cyt],C00095,c,DECREASED,0.62500000,8,6.11936730,21.40463600,1.00000000,3.82460456,Reduce turnover (limit competing usage),Other,10.34448709,-1.86212136,2.13025051,-0.04797056,-7.87575287,-21.40463600,-0.63073972,4.65898028
5,"C00002[K,c]",ATP [cyt],C00002,c,DECREASED,0.62500000,8,2.30867582,3.90335682,2.00000000,2.88584478,Reduce turnover (limit competing usage),Energy_Cofactors,3.30668937,-1.85295169,3.90335682,-0.08885127,-3.44558079,-0.12854230,3.74028359,-2.00315076
6,"C00008[K,c]",ADP [cyt],C00008,c,DECREASED,0.62500000,8,2.30867150,3.90335701,2.00000000,2.88583938,Reduce turnover (limit competing usage),Energy_Cofactors,3.30668918,-1.85295023,3.90335701,-0.08885214,-3.44555994,-0.12853600,3.74028343,-2.00314411
7,"C00354[K,c]","D-Fructose-1,6-bisP [cyt]",C00354,c,INCREASED,0.62500000,8,1.71325363,3.90501668,2.00000000,2.14156704,Enhance turnover (increase supply/demand),Glycolysis,3.22797171,-1.86756387,3.90501668,0.10254876,-1.33652666,0.01385620,1.22142716,-2.03111803
8,C00049[P],L-Aspartate [],C00049,,INCREASED,0.62500000,8,0.52349938,3.98705344,5.00000000,1.63593555,Enhance turnover (increase supply/demand),Lysine_Biosynthesis; Aspartate_Family,0.05725589,0.02577864,0.00854334,-0.00673573,-0.00198353,-0.08517512,3.98705344,0.01546931
9,"C00049[K,c]",L-Aspartate [cyt],C00049,c,INCREASED,0.62500000,8,0.52349839,3.98705344,5.00000000,1.63593247,Enhance turnover (increase supply/demand),Lysine_Biosynthesis; Aspartate_Family,0.05725589,0.02577864,0.00854334,-0.00673573,-0.00198354,-0.08517512,3.98705344,0.01546142
10,"C00118[K,c]",D-Glyceraldehyde-3P [cyt],C00118,c,INCREASED,0.62500000,8,1.21393100,3.04863595,2.00000000,1.51741376,Enhance turnover (increase supply/demand),Glycolysis,1.57156630,-0.90183715,1.95971108,0.04295119,-0.57708284,0.45182364,3.04863595,-1.15783989
