DAP,Reaction,New_R00451,Delta_R00451,Fold_Change,New_Biomass,Biomass_Change,Orig_Vmax,New_Vmax
18,MR00558[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,8.3712518666e-10,0.0000000000e+00,0.0000000000e+00
18,R01308[K,p],8.2701819659e-06,7.2753282362e-07,1.096456,1.2344439551e-03,1.5290155188e-10,1.0000000000e+03,2.0000000000e+03
18,R01280[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845736e-11,1.7070520370e+00,3.4141040740e+00
18,R00512[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845302e-11,3.2038736500e-01,6.4077473000e-01
18,R00883[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845519e-11,2.7180237620e+00,5.4360475240e+00
18,R01015[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845302e-11,3.8158407580e+01,7.6316815160e+01
18,R00844[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845302e-11,1.0000000000e+03,2.0000000000e+03
18,R02092[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845519e-11,6.4040772700e+00,1.2808154540e+01
18,cpTransport_C00712[K],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845519e-11,1.0000000000e+03,2.0000000000e+03
18,PhloemImport_C00055_E[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845519e-11,0.0000000000e+00,0.0000000000e+00
18,PhloemImport_C00130_E[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263845519e-11,0.0000000000e+00,0.0000000000e+00
18,R00667[K,m],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263844435e-11,1.9222171340e+00,3.8444342680e+00
18,Exe3[K],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,7.1263844435e-11,1.0000000000e+03,2.0000000000e+03
18,R00351[K,m],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,0.0000000000e+00,1.5321588440e+00,3.0643176880e+00
18,R00756[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,0.0000000000e+00,1.0000000000e+03,2.0000000000e+03
18,R01866[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,0.0000000000e+00,1.0000000000e+03,2.0000000000e+03
18,R02734[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,0.0000000000e+00,1.0000000000e+03,2.0000000000e+03
18,PhloemTransport_C00188[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,0.0000000000e+00,1.0000000000e+03,2.0000000000e+03
18,R00009[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,3.3146757780e+00,6.6293515560e+00
18,R00259[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,3.1057210010e+00,6.2114420020e+00
18,R00586[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,7.5742567600e-01,1.5148513520e+00
18,R00801[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,7.4576805020e+00,1.4915361004e+01
18,R02016[K,p],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,8.0849315420e+00,1.6169863084e+01
18,R00175[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,1.0000000000e+03,2.0000000000e+03
18,cpTransport_C00014[K],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,1.0000000000e+03,2.0000000000e+03
18,cpTransport_C00042[K],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-2.1684043450e-19,1.0000000000e+03,2.0000000000e+03
18,R00224[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,-1.0842021725e-18,2.0057918530e+00,4.0115837060e+00
18,R02199[K,p],8.2701793340e-06,7.2753019169e-07,1.096456,1.2344435622e-03,-2.3995162237e-10,6.6535607860e+00,1.3307121572e+01
18,R00291[K,c],8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,-1.1226300007e-09,1.3063072300e-01,2.6126144600e-01
18,R00332[K,c],8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,-1.1226300007e-09,1.0000000000e+03,2.0000000000e+03
18,R00342[K,p],8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,-1.1226300009e-09,1.2456487260e+01,2.4912974520e+01
18,R00118[K,c],8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,-1.1226300018e-09,7.9458302180e+00,1.5891660436e+01
18,R00512[K,p],8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,-1.1226300018e-09,3.2038736500e-01,6.4077473000e-01
