DAP,Reaction,New_R00451,Delta_R00451,Fold_Change,New_Biomass,Biomass_Pct_of_WT,Original_Flux
18,Exe2[K],3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00,-3.4085394251e-01
18,Trans2[K],3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00,3.4085394251e-01
18,cpTransport_C00007[K],1.7702336270e-01,1.7701582005e-01,23469.653614,1.2344438734e-03,100.00,2.8962770624e-01
18,R00216[K,p],1.2244521325e-01,1.2243767061e-01,16233.714567,1.2344446393e-03,100.00,4.6390938934e-01
18,R00282[K,c],2.1195684183e-04,2.0441419269e-04,28.101114,1.2344446393e-03,100.00,5.5457082288e-04
18,MR01165[K,c],8.2702019502e-06,7.2755280789e-07,1.096459,1.2344469380e-03,100.00,5.6784414900e-09
18,18:1/18:1-PEdegradation[K],8.2702003426e-06,7.2755120032e-07,1.096458,1.2344466981e-03,100.00,5.6784414900e-09
18,MR01102[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,5.1958727189e-06
18,MR01164[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.6836593121e-02
18,R00936[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,2.6578809505e-07
18,MR01144[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,6.7141398400e-08
18,MR01146[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.7793149520e-06
18,cpTransport_C00251[K],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,8.4627813324e-05
18,cpTransport_C00712[K],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,-4.5797865061e-08
18,cpTransport_C00154[K],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.6837709219e-02
18,PhloemTransport_C00082[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,3.4073611605e-06
18,PhloemImport_C00082[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,3.4073611605e-06
18,PhloemTransport_C00079[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,2.4408533856e-06
18,PhloemImport_C00079[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,2.4408533856e-06
18,R02103[K,x],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,2.0701554051e-04
18,MR01103[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,6.9576956022e-07
18,MR01106[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.0184408257e-06
18,R04001[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,6.3011193743e-02
18,MR01086[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.3782565051e-08
18,MR01091[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.3782565051e-08
18,R00014[K,p],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,6.3023217250e-02
18,MR01101[K,c],8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00,1.7024214476e-07
18,R01251_mod[K,m],8.2701849423e-06,7.2753580002e-07,1.096456,1.2344443993e-03,100.00,-4.7307836720e-06
18,MR01162[K,c],8.2701835735e-06,7.2753443118e-07,1.096456,1.2344441950e-03,100.00,-1.9504212074e-09
18,18:3-16:1t-PGdegradation[K],8.2701835735e-06,7.2753443118e-07,1.096456,1.2344441950e-03,100.00,1.2159271451e-08
18,16:0-18:0-PGdegradation[K],8.2701819659e-06,7.2753282362e-07,1.096456,1.2344439551e-03,100.00,6.5425521515e-10
18,16:0-18:1-PGdegradation[K],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,1.9504212074e-09
18,R00248[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,2.0816665935e-04
18,MR01101[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,2.8021269432e-05
18,MR01235[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,-6.5672410276e-09
18,R00299[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,4.7054691560e-01
18,MR00348[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,2.6578809505e-07
18,R02740[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,-1.8838481411e-01
18,cpTransport_C00093[K],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,-1.6838518422e-02
18,PhloemTransport_C00015[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,1.6456987549e-06
18,PhloemTransport_C00002[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,2.2899410877e-04
18,R00211[K,p],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,2.3892784408e-01
18,R02738[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,-1.8377474075e-01
18,PhloemTransport_C00063[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,1.9294109739e-06
18,cmTransport_C00158[K],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,1.2991341632e-01
18,MR01087[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,1.7024214476e-07
18,MR01093[K,c],8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00,1.7024214476e-07
18,cmTransport_C00009[K],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,100.00,-4.2768841174e-04
18,R01641[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,100.00,2.0753506235e-05
18,R01829[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,100.00,2.0753506235e-05
18,R01843[K,c],8.2701809415e-06,7.2753179925e-07,1.096456,1.2344438022e-03,100.00,2.0753506235e-05
18,18:2-16:1t-PGdegradation[K],8.2701798114e-06,7.2753066912e-07,1.096456,1.2344436335e-03,100.00,6.5672410276e-09
18,Exchange_161tPG[K,L],8.2701792947e-06,7.2753015241e-07,1.096456,1.2344435564e-03,100.00,6.7277187219e-09
18,cpTransport_C00020[K],8.2701784426e-06,7.2752930028e-07,1.096455,1.2344434292e-03,100.00,2.5201372670e-04
18,16:0/18:3-MGDGdegradation[K],8.2701784426e-06,7.2752930028e-07,1.096455,1.2344434292e-03,100.00,2.4812320424e-07
18,MR01285[K,p],8.2701784426e-06,7.2752930028e-07,1.096455,1.2344434292e-03,100.00,2.4812320424e-07
18,cpTransport_MC00925[K],8.2701784426e-06,7.2752930028e-07,1.096455,1.2344434292e-03,100.00,2.4812320424e-07
18,MR01100[K,p],8.2701768350e-06,7.2752769272e-07,1.096455,1.2344431892e-03,100.00,3.4165701113e-07
18,R01184[K,c],8.2701768350e-06,7.2752769272e-07,1.096455,1.2344431892e-03,100.00,4.5597428421e-04
18,R01381[K,c],8.2701768350e-06,7.2752769272e-07,1.096455,1.2344431892e-03,100.00,4.5597428421e-04
