DAP,Reaction
18,MR00024[K,p]
18,MR00104[K,p]
18,MR00186[K,m]
18,MR00188[K,c]
18,MR00285[K,c]
18,MR00348[K,c]
18,MR00676[K,p]
18,MR00681[K,p]
18,MR00682[K,p]
18,MR00684[K,p]
18,MR00687[K,p]
18,MR00696[K,m]
18,MR00699[K,p]
18,MR00732[K,p]
18,MR00747_mod[K,x]
18,MR00856[K,c]
18,MR00856[K,p]
18,R00004[K,p]
18,R00009[K,x]
18,R00100[K,p]
18,R00115[K,p]
18,R00124[K,m]
18,R00124[K,p]
18,R00127[K,c]
18,R00127[K,p]
18,R00131[K,x]
18,R00156[K,p]
18,R00177[K,c]
18,R00185[K,p]
18,R00190[K,c]
18,R00192[K,c]
18,R00192[K,p]
18,R00200[K,p]
18,R00216[K,c]
18,R00216[K,m]
18,R00224[K,c]
18,R00239_mod[K,m]
18,R00248[K,c]
18,R00253[K,p]
18,R00258[K,c]
18,R00259[K,p]
18,R00267_mod[K,m]
18,R00281[K,m]
18,R00281[K,p]
18,R00289[K,p]
18,R00291[K,p]
18,R00307[K,c]
18,R00342[K,c]
18,R00342[K,p]
18,R00342[K,x]
18,R00351[K,c]
18,R00355[K,c]
18,R00355[K,p]
18,R00480[K,p]
18,R00512[K,c]
18,R00529[K,p]
18,R00570[K,c]
18,R00570[K,p]
18,R00573[K,p]
18,R00610[K,p]
18,R00658[K,c]
18,R00667[K,m]
18,R00667[K,p]
18,R00669[K,p]
18,R00715[K,c]
18,R00734[K,c]
18,R00751[K,c]
18,R00754[K,c]
18,R00754[K,p]
18,R00764[K,c]
18,R00769[K,c]
18,R00770[K,c]
18,R00771[K,c]
18,R00772[K,c]
18,R00801[K,c]
18,R00840[K,c]
18,R00883[K,c]
18,R00888[K,c]
18,R00924[K,m]
18,R00924[K,x]
18,R00948[K,p]
18,R00959[K,p]
18,R00970[K,c]
18,R00996[K,p]
18,R01015[K,c]
18,R01015[K,p]
18,R01049[K,c]
18,R04779[K,c]
18,R01070[K,c]
18,R01061[K,c]
18,R01061[K,p]
18,R01067[K,p]
18,R01068[K,c]
18,R01090[K,p]
18,R01121[K,c]
18,R01123[K,p]
18,R01138[K,c]
18,R01185[K,c]
18,R01210[K,m]
18,R01213[K,p]
18,R01214[K,m]
18,R01214[K,p]
18,R01251[K,p]
18,R01253[K,m]
18,R01280[K,p]
18,R01325[K,m]
18,R01384[K,c]
18,R01385[K,c]
18,R01512[K,c]
18,R01512[K,p]
18,R01513[K,p]
18,R01518[K,c]
18,R01549[K,c]
18,R01560[K,p]
18,R01615[K,c]
18,R01616[K,c]
18,R01641[K,p]
18,R01663[K,p]
18,R01665[K,p]
18,R01714[K,c]
18,R01768[K,p]
18,R01818[K,c]
18,R01826[K,p]
18,R01900_mod[K,m]
18,R01933[K,m]
18,R01942[K,c]
18,R01975[K,x]
18,R01978[K,c]
18,R02003[K,p]
18,R02017[K,c]
18,R02037[K,c]
18,R02061[K,p]
18,R02082[K,c]
18,R02094[K,p]
18,R02101[K,p]
18,R02106[K,x]
18,R02110[K,p]
18,R02193[K,c]
18,R02199[K,p]
18,R02245[K,c]
18,R02291[K,p]
18,R02292[K,p]
18,R02313[K,c]
18,R02317[K,c]
18,R02327[K,c]
18,R02412[K,m]
18,R02421[K,p]
18,R02425[K,x]
18,R02487[K,x]
18,R02521[K,c]
18,R02596[K,c]
18,R02649[K,p]
18,R02735[K,p]
18,R02814[K,p]
18,R02853_mod[K,p]
18,R03026[K,x]
18,R03083[K,p]
18,R03084[K,p]
18,R03245[K,c]
18,R03313_mod[K,m]
18,R03354[K,p]
18,R03355[K,p]
18,R03443[K,p]
18,R03460[K,c]
18,R03824[K,p]
18,R03919[K,c]
18,R03928[K,c]
18,R03968[K,c]
18,R04007[K,c]
18,R04173[K,p]
18,R04224[K,x]
18,R04342[K,c]
18,R04426[K,m]
18,R04440[K,p]
18,R04441[K,p]
18,R04566[K,p]
18,R04724[K,p]
18,R04798[K,p]
18,R04801[K,p]
