DAP,Combination,New_R00451,Delta_R00451,Fold_Change,New_Biomass,Biomass_Pct
18,"OE:R01280[K,p] + KO:Trans2[K]",3.5023897047e-01,3.5023142782e-01,46434.477312,1.2344439551e-03,100.00
18,"MIM:MR00422[K,p] + KO:Trans2[K]",3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00
18,"MIM:MR00422[K,p] + KO:Exe2[K]",3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00
18,"OE:R00883[K,c] + KO:Trans2[K]",3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00
18,"OE:R00883[K,c] + KO:Exe2[K]",3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00
18,"KO:Trans2[K] + KO:Exe2[K]",3.5023857914e-01,3.5023103649e-01,46434.425429,1.2344439551e-03,100.00
18,"OE:MR00558[K,p] + KO:Trans2[K]",3.5023846991e-01,3.5023092727e-01,46434.410949,1.2344434292e-03,100.00
18,"OE:MR00558[K,p] + KO:Exe2[K]",3.5023846991e-01,3.5023092727e-01,46434.410949,1.2344434292e-03,100.00
18,"KO:cpTransport_C00007[K] + KO:R00282[K,c]",1.7875395556e-01,1.7874641291e-01,23699.094600,1.2344438734e-03,100.00
18,"OE:R01280[K,p] + KO:cpTransport_C00007[K]",1.7702336677e-01,1.7701582412e-01,23469.654153,1.2344446393e-03,100.00
18,"MIM:MR00422[K,p] + KO:cpTransport_C00007[K]",1.7702336270e-01,1.7701582005e-01,23469.653614,1.2344438734e-03,100.00
18,"KO:cpTransport_C00007[K] + OE:R00883[K,c]",1.7702336270e-01,1.7701582005e-01,23469.653614,1.2344438734e-03,100.00
18,"KO:cpTransport_C00007[K] + MIM:MR00732[K,m]",1.7702336270e-01,1.7701582005e-01,23469.653614,1.2344438734e-03,100.00
18,"OE:R00512[K,c] + KO:cpTransport_C00007[K]",1.7702334635e-01,1.7701580370e-01,23469.651446,1.2344446393e-03,100.00
18,"KO:cpTransport_C00007[K] + MIM:R00342[K,p]",1.7702334229e-01,1.7701579964e-01,23469.650907,1.2344438734e-03,100.00
18,"KO:cpTransport_C00007[K] + OE:R01308[K,p]",1.7702313473e-01,1.7701559208e-01,23469.623390,1.2344438734e-03,100.00
18,"MIM:MR00422[K,p] + KO:R00216[K,p]",1.2244521325e-01,1.2243767061e-01,16233.714567,1.2344446393e-03,100.00
18,"OE:R00883[K,c] + KO:R00216[K,p]",1.2244521325e-01,1.2243767061e-01,16233.714567,1.2344446393e-03,100.00
18,"KO:cpTransport_C00007[K] + KO:Trans2[K]",8.4701309625e-02,8.4693766976e-02,11229.649958,-0.0000000000e+00,-0.00
18,"KO:cpTransport_C00007[K] + KO:Exe2[K]",8.4701309625e-02,8.4693766976e-02,11229.649958,-0.0000000000e+00,-0.00
18,"MIM:MR00422[K,p] + KO:R00282[K,c]",2.1195684183e-04,2.0441419269e-04,28.101114,1.2344446393e-03,100.00
18,"OE:R00883[K,c] + KO:R00282[K,c]",2.1195684183e-04,2.0441419269e-04,28.101114,1.2344446393e-03,100.00
18,"MIM:R00342[K,p] + OE:R01308[K,p]",8.2701865499e-06,7.2753740759e-07,1.096456,1.2344446393e-03,100.00
18,"OE:R00883[K,c] + OE:R01308[K,p]",8.2701819659e-06,7.2753282362e-07,1.096456,1.2344439551e-03,100.00
18,"OE:R01280[K,p] + MIM:MR00422[K,p]",8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00
18,"OE:R01280[K,p] + OE:R00883[K,c]",8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00
18,"OE:R01280[K,p] + MIM:MR00732[K,m]",8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00
18,"OE:R00512[K,c] + MIM:MR00422[K,p]",8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00
18,"OE:R00512[K,c] + OE:R00883[K,c]",8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00
18,"MIM:MR00422[K,p] + OE:R00883[K,c]",8.2701814190e-06,7.2753227668e-07,1.096456,1.2344438734e-03,100.00
18,"OE:MR00558[K,p] + MIM:MR00732[K,m]",8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,100.00
18,"OE:R00512[K,c] + OE:R01280[K,p]",8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,100.00
18,"MIM:MR00422[K,p] + MIM:R00342[K,p]",8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,100.00
18,"MIM:MR00422[K,p] + MIM:MR00732[K,m]",8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,100.00
18,"OE:R00883[K,c] + MIM:R00342[K,p]",8.2701734205e-06,7.2752427817e-07,1.096455,1.2344426795e-03,100.00
