Reaction,DAP,Base_R00451,New_R00451,Fold_Change,Base_Biomass,New_Biomass,Biomass_Retained_Pct,Verified
Exe2[K],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
Trans2[K],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
cpTransport_C00007[K],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
R00282[K,c],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
cpTransport_C00712[K],18,7.5426491423e-06,8.2701814190e-06,1.096456,1.2344438022e-03,1.2344438734e-03,100.00,True
R00342[K,p],18,7.5426491423e-06,8.2701734205e-06,1.096455,1.2344438022e-03,1.2344426795e-03,100.00,True
MR01165[K,c],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
18:1/18:1-PEdegradation[K],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
MR01102[K,p],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
MR01164[K,c],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
MR00558[K,p],18,7.5426491423e-06,8.2701865499e-06,1.096456,1.2344438022e-03,1.2344446393e-03,100.00,True
R00936[K,p],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
MR01144[K,p],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
MR01146[K,p],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
cpTransport_C00251[K],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
cpTransport_C00154[K],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
PhloemTransport_C00082[K,c],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
PhloemImport_C00082[K,c],18,7.5426491423e-06,7.5426491423e-06,1.000000,1.2344438022e-03,1.2344438022e-03,100.00,False
