Reaction,GSM_Match,Screen_Type,Function,Fold_Change,Has_GPR,GPR_Type,N_Genes,Gene_IDs,Pathway,GPR_Rule,Category
Exe2[K],Exe2[K],KO,Lipid export,"46,434x",No,none,0,No GPR / Transport reaction,0,N/A,Key_Target
Trans2[K],Trans2[K],KO,Lipid transport,"46,434x",No,none,0,No GPR / Transport reaction,0,N/A,Key_Target
cpTransport_C00007[K],cpTransport_C00007[K],KO,O2 transport (plastid-cytosol),"23,470x",No,none,0,No GPR / Transport reaction,0,N/A,Key_Target
"R00216[K,p]","R00216[K,p]",KO,Pyruvate dehydrogenase (plastid),"16,234x",Yes,isozymes,5,GRMZM2G085019; GRMZM2G085747; GRMZM2G122479; GRMZM2G404237; GRMZM5G886257,Pyruvate metabolism,(GRMZM2G085747 or GRMZM2G404237 or GRMZM5G886257 or GRMZM2G122479 or GRMZM2G085019),Key_Target
"R00282[K,c]","R00282[K,c]",KO,Acetyl-CoA carboxylase (cytosol),28x,Yes,single_gene,1,GRMZM2G000236,0,(GRMZM2G000236),Key_Target
"MR00558[K,p]","MR00558[K,p]",OE,Lipid biosynthesis,1.096x,No,none,0,No GPR / Transport reaction,0,N/A,Key_Target
"R01308[K,p]","R01308[K,p]",OE,Shikimate pathway,1.096x,No,none,0,No GPR / Transport reaction,"Phenylalanine, tyrosine and tryptophan metabolism",N/A,Key_Target
"R01280[K,p]","R01280[K,p]",OE,Chorismate synthesis,1.096x,Yes,isozymes,13,GRMZM2G002614; GRMZM2G016774; GRMZM2G059381; GRMZM2G098596; GRMZM2G101875; GRMZM2G104847; GRMZM2G117064; GRMZM2G118286; GRMZM2G152127; GRMZM2G176546; GRMZM2G339336; GRMZM5G840955; GRMZM5G861300,Fatty acid metabolism,(GRMZM2G104847 or GRMZM2G152127 or GRMZM2G118286 or GRMZM2G059381 or GRMZM2G016774 or GRMZM2G098596 or GRMZM2G176546 or GRMZM2G101875 or GRMZM2G002614 or GRMZM2G339336 or GRMZM5G840955 or GRMZM2G117064 or GRMZM5G861300),Key_Target
"R00883[K,c]","R00883[K,c]",OE,Phosphofructokinase,1.096x,Yes,isozymes,2,GRMZM2G119300; GRMZM2G149265,Fructose and mannose metabolism,(GRMZM2G149265 or GRMZM2G119300),Key_Target
"R00512[K,c]","R00512[K,c]",OE,Pyruvate kinase (cytosol),1.096x,Yes,isozymes,4,GRMZM2G067453; GRMZM2G079944; GRMZM2G149281; GRMZM5G801436,Pyrimidine metabolism,(GRMZM2G067453 or GRMZM2G079944 or GRMZM5G801436 or GRMZM2G149281),Key_Target
"R01015[K,c]","R01015[K,c]",OE,Glycolysis,1.096x,Yes,isozymes,15,GRMZM2G002807; GRMZM2G017257; GRMZM2G017578; GRMZM2G018177; GRMZM2G023471; GRMZM2G026182; GRMZM2G030784; GRMZM2G146206; GRMZM2G305211; GRMZM2G346168; GRMZM2G370275; GRMZM2G419024; GRMZM2G435244; GRMZM2G439389; GRMZM5G852968,Calvin-Benson-Bassham cycle,(GRMZM2G017257 or GRMZM2G023471 or GRMZM2G439389 or GRMZM2G305211 or GRMZM2G346168 or GRMZM2G026182 or GRMZM2G419024 or GRMZM2G018177 or GRMZM2G146206 or GRMZM5G852968 or GRMZM2G017578 or GRMZM2G030784 or GRMZM2G002807 or GRMZM2G435244 or GRMZM2G370275 or GRMZM2G370275 or GRMZM2G030784),Key_Target
"R00667[K,m]","R00667[K,m]",OE,TCA cycle (mitochondrial),1.096x,Yes,isozymes,2,GRMZM2G080828; GRMZM2G119583,Arginine and proline metabolism,(GRMZM2G119583 or GRMZM2G080828),Key_Target
