Reaction,Screen_Type,Function,Fold_Change,Gene_ID,GPR_Type,Pathway
Exe2[K],KO,Lipid export,"46,434x",NO_GPR,none,0
Trans2[K],KO,Lipid transport,"46,434x",NO_GPR,none,0
cpTransport_C00007[K],KO,O2 transport (plastid-cytosol),"23,470x",NO_GPR,none,0
"R00216[K,p]",KO,Pyruvate dehydrogenase (plastid),"16,234x",GRMZM2G085019,isozymes,Pyruvate metabolism
"R00216[K,p]",KO,Pyruvate dehydrogenase (plastid),"16,234x",GRMZM2G085747,isozymes,Pyruvate metabolism
"R00216[K,p]",KO,Pyruvate dehydrogenase (plastid),"16,234x",GRMZM2G122479,isozymes,Pyruvate metabolism
"R00216[K,p]",KO,Pyruvate dehydrogenase (plastid),"16,234x",GRMZM2G404237,isozymes,Pyruvate metabolism
"R00216[K,p]",KO,Pyruvate dehydrogenase (plastid),"16,234x",GRMZM5G886257,isozymes,Pyruvate metabolism
"R00282[K,c]",KO,Acetyl-CoA carboxylase (cytosol),28x,GRMZM2G000236,single_gene,0
"MR00558[K,p]",OE,Lipid biosynthesis,1.096x,NO_GPR,none,0
"R01308[K,p]",OE,Shikimate pathway,1.096x,NO_GPR,none,"Phenylalanine, tyrosine and tryptophan metabolism"
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G002614,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G016774,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G059381,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G098596,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G101875,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G104847,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G117064,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G118286,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G152127,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G176546,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM2G339336,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM5G840955,isozymes,Fatty acid metabolism
"R01280[K,p]",OE,Chorismate synthesis,1.096x,GRMZM5G861300,isozymes,Fatty acid metabolism
"R00883[K,c]",OE,Phosphofructokinase,1.096x,GRMZM2G119300,isozymes,Fructose and mannose metabolism
"R00883[K,c]",OE,Phosphofructokinase,1.096x,GRMZM2G149265,isozymes,Fructose and mannose metabolism
"R00512[K,c]",OE,Pyruvate kinase (cytosol),1.096x,GRMZM2G067453,isozymes,Pyrimidine metabolism
"R00512[K,c]",OE,Pyruvate kinase (cytosol),1.096x,GRMZM2G079944,isozymes,Pyrimidine metabolism
"R00512[K,c]",OE,Pyruvate kinase (cytosol),1.096x,GRMZM2G149281,isozymes,Pyrimidine metabolism
"R00512[K,c]",OE,Pyruvate kinase (cytosol),1.096x,GRMZM5G801436,isozymes,Pyrimidine metabolism
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G002807,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G017257,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G017578,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G018177,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G023471,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G026182,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G030784,isozymes,Calvin-Benson-Bassham cycle
